trigger_class,rt,prior,workerid,slide_number_in_experiment,question_type,prior_fact,Answer.time_in_minutes,trigger,short_trigger,content,response,block
C,3153,high_prior,185,55,projective,Jackson is training for a marathon,5.6596166666666665,be_right,be_right,jackson,0.99,block2
C,5233,low_prior,185,56,projective,Emily never has any money,5.6596166666666665,see,see,emily,0.98,block2
C,4625,high_prior,185,57,projective,Josh is a 5-year old boy,5.6596166666666665,confirm,confirm,josh,0.98,block2
MC,12515,,186,5,projective,Pizza is sold at the pizzeria,9.1167,MC,MC,pizza,0,block1
C,9187,high_prior,186,6,projective,Charley lives in Mexico,9.1167,hear,hear,charley,0.2,block1
C,21948,high_prior,186,7,projective,Jon lives 2 blocks away from work,9.1167,establish,establish,jon,0,block1
MC,12802,,186,8,projective,Garages are used to store cars and other things,9.1167,MC,MC,garage,0,block1
C,8496,low_prior,186,9,projective,Emily never has any money,9.1167,announce,announce,emily,0,block1
C,15644,high_prior,186,10,projective,Sophia is a hipster,9.1167,reveal,reveal,sophia,0.51,block1
C,7478,low_prior,186,11,projective,Frank is allergic to cats,9.1167,prove,prove,frank,0,block1
C,6798,high_prior,186,12,projective,Grace loves her sister,9.1167,discover,discover,grace,0.15,block1
MC,9766,,186,13,projective,Many children like ice cream,9.1167,MC,MC,kids,0,block1
C,18126,low_prior,186,14,projective,Josh is a 75-year old man,9.1167,inform,inform,josh,0.97,block1
C,14953,high_prior,186,15,projective,Emma is in law school,9.1167,say,say,emma,0.02,block1
C,6428,low_prior,186,16,projective,Jayden doesn't have a driver's license,9.1167,admit,admit,jayden,0.57,block1
C,10350,high_prior,186,17,projective,Isabella is from Argentina,9.1167,know,know,isabella,1,block1
MC,11198,,186,18,projective,Muffins are sold at the bakery,9.1167,MC,MC,muffins,0.02,block1
C,11140,low_prior,186,19,projective,Mia is a nun,9.1167,see,see,mia,0.71,block1
C,9196,low_prior,186,20,projective,Mary is a middle school student,9.1167,acknowledge,acknowledge,mary,0.01,block1
C,5976,low_prior,186,21,projective,Tony has been sober for 20 years,9.1167,confirm,confirm,tony,0,block1
MC,7306,,186,22,projective,Hats are worn on the head,9.1167,MC,MC,hat,0.03,block1
C,6682,high_prior,186,23,projective,Julian is Cuban,9.1167,demonstrate,demonstrate,julian,0.03,block1
C,11304,low_prior,186,24,projective,Olivia has two small children,9.1167,confess,confess,olivia,0.51,block1
C,9154,high_prior,186,25,projective,Owen lives in Chicago,9.1167,think,think,owen,0,block1
C,7894,low_prior,186,26,projective,Jackson is obese,9.1167,be_right,be_right,jackson,0.29,block1
C,9061,high_prior,186,27,projective,Danny loves cake,9.1167,suggest,suggest,danny,0,block1
MC,5696,,186,28,projective,Ballet is a type of dance,9.1167,MC,MC,ballet,0,block1
C,7352,high_prior,186,29,projective,Zoe is a math major,9.1167,pretend,pretend,zoe,0.26,block1
C,10928,low_prior,186,30,projective,Josie doesn't have a passport,9.1167,be_annoyed,be_annoyed,josie,1,block1
C,13683,high_prior,186,32,ai,Zoe is a math major,9.1167,pretend,pretend,zoe,0,block2
C,7008,low_prior,186,33,ai,Emily never has any money,9.1167,announce,announce,emily,0.58,block2
MC,11046,,186,34,ai,Many children like ice cream,9.1167,MC,MC,kids,0.96,block2
MC,5732,,186,35,ai,Hats are worn on the head,9.1167,MC,MC,hat,0.99,block2
C,5700,high_prior,186,36,ai,Danny loves cake,9.1167,suggest,suggest,danny,0.64,block2
C,8121,low_prior,186,37,ai,Jackson is obese,9.1167,be_right,be_right,jackson,1,block2
C,5639,low_prior,186,38,ai,Josie doesn't have a passport,9.1167,be_annoyed,be_annoyed,josie,0.18,block2
C,9320,low_prior,186,39,ai,Mia is a nun,9.1167,see,see,mia,0.07,block2
C,5846,low_prior,186,40,ai,Mary is a middle school student,9.1167,acknowledge,acknowledge,mary,0.58,block2
C,6644,high_prior,186,41,ai,Grace loves her sister,9.1167,discover,discover,grace,0.26,block2
C,6856,high_prior,186,42,ai,Owen lives in Chicago,9.1167,think,think,owen,0.65,block2
C,6798,high_prior,186,43,ai,Isabella is from Argentina,9.1167,know,know,isabella,0,block2
MC,5356,,186,44,ai,Muffins are sold at the bakery,9.1167,MC,MC,muffins,1,block2
C,8185,low_prior,186,45,ai,Tony has been sober for 20 years,9.1167,confirm,confirm,tony,0.65,block2
C,5714,low_prior,186,46,ai,Jayden doesn't have a driver's license,9.1167,admit,admit,jayden,0.55,block2
C,5984,high_prior,186,47,ai,Sophia is a hipster,9.1167,reveal,reveal,sophia,0.6,block2
MC,4318,,186,48,ai,Pizza is sold at the pizzeria,9.1167,MC,MC,pizza,0.99,block2
C,6278,high_prior,186,49,ai,Charley lives in Mexico,9.1167,hear,hear,charley,0.6,block2
MC,4698,,186,50,ai,Garages are used to store cars and other things,9.1167,MC,MC,garage,0.96,block2
C,5380,low_prior,186,51,ai,Frank is allergic to cats,9.1167,prove,prove,frank,0.59,block2
MC,10406,,186,52,ai,Ballet is a type of dance,9.1167,MC,MC,ballet,1,block2
C,7626,high_prior,186,53,ai,Julian is Cuban,9.1167,demonstrate,demonstrate,julian,0,block2
C,6270,low_prior,186,54,ai,Olivia has two small children,9.1167,confess,confess,olivia,0.54,block2
C,6064,high_prior,186,55,ai,Emma is in law school,9.1167,say,say,emma,0.62,block2
C,5152,low_prior,186,56,ai,Josh is a 75-year old man,9.1167,inform,inform,josh,0.58,block2
C,3896,high_prior,186,57,ai,Jon lives 2 blocks away from work,9.1167,establish,establish,jon,0.54,block2
C,10764,low_prior,187,5,projective,Danny is a diabetic,9.35855,be_right,be_right,danny,0.18,block1
C,9976,high_prior,187,6,projective,Mary is taking a prenatal yoga class,9.35855,say,say,mary,0.29,block1
C,8483,low_prior,187,7,projective,Frank is allergic to cats,9.35855,know,know,frank,0.93,block1
MC,9646,,187,8,projective,Many children like ice cream,9.35855,MC,MC,kids,0.27,block1
C,10735,high_prior,187,9,projective,Charley lives in Mexico,9.35855,confirm,confirm,charley,0.49,block1
C,8599,high_prior,187,10,projective,Jackson is training for a marathon,9.35855,prove,prove,jackson,0.35,block1
C,7699,low_prior,187,11,projective,Isabella is a vegetarian,9.35855,pretend,pretend,isabella,0.2,block1
C,9360,low_prior,187,12,projective,Sophia is a high end fashion model,9.35855,reveal,reveal,sophia,0.94,block1
MC,8116,,187,13,projective,Garages are used to store cars and other things,9.35855,MC,MC,garage,0,block1
C,9458,high_prior,187,14,projective,Jon lives 2 blocks away from work,9.35855,confess,confess,jon,0.99,block1
MC,4734,,187,15,projective,Muffins are sold at the bakery,9.35855,MC,MC,muffins,0.8,block1
C,10603,high_prior,187,16,projective,Emma is in law school,9.35855,admit,admit,emma,0.95,block1
C,6547,high_prior,187,17,projective,Tony really likes to party with his friends,9.35855,demonstrate,demonstrate,tony,0.67,block1
C,4778,low_prior,187,18,projective,Jayden doesn't have a driver's license,9.35855,discover,discover,jayden,0.94,block1
C,5874,low_prior,187,19,projective,Zoe is 5 years old,9.35855,think,think,zoe,0.92,block1
C,15384,high_prior,187,20,projective,Josie loves France,9.35855,inform,inform,josie,1,block1
C,11749,low_prior,187,21,projective,Josh is a 75-year old man,9.35855,announce,announce,josh,1,block1
C,8342,low_prior,187,22,projective,Julian is German,9.35855,acknowledge,acknowledge,julian,0.48,block1
MC,5557,,187,23,projective,Ballet is a type of dance,9.35855,MC,MC,ballet,0,block1
C,10392,low_prior,187,24,projective,Mia is a nun,9.35855,establish,establish,mia,0,block1
C,12777,low_prior,187,25,projective,Owen lives in New Orleans,9.35855,see,see,owen,0.91,block1
C,9572,high_prior,187,26,projective,Olivia works the third shift,9.35855,suggest,suggest,olivia,0.91,block1
C,21174,high_prior,187,27,projective,Emily has been saving for a year,9.35855,hear,hear,emily,1,block1
C,13758,high_prior,187,28,projective,Grace loves her sister,9.35855,be_annoyed,be_annoyed,grace,1,block1
MC,13424,,187,29,projective,Hats are worn on the head,9.35855,MC,MC,hat,0.86,block1
MC,11952,,187,30,projective,Pizza is sold at the pizzeria,9.35855,MC,MC,pizza,0.21,block1
MC,12431,,187,32,ai,Pizza is sold at the pizzeria,9.35855,MC,MC,pizza,1,block2
C,7131,high_prior,187,33,ai,Emily has been saving for a year,9.35855,hear,hear,emily,0,block2
C,7141,low_prior,187,34,ai,Frank is allergic to cats,9.35855,know,know,frank,0,block2
MC,4650,,187,35,ai,Muffins are sold at the bakery,9.35855,MC,MC,muffins,1,block2
C,5735,high_prior,187,36,ai,Charley lives in Mexico,9.35855,confirm,confirm,charley,1,block2
MC,4475,,187,37,ai,Hats are worn on the head,9.35855,MC,MC,hat,1,block2
C,9065,low_prior,187,38,ai,Josh is a 75-year old man,9.35855,announce,announce,josh,0,block2
C,6255,high_prior,187,39,ai,Tony really likes to party with his friends,9.35855,demonstrate,demonstrate,tony,1,block2
C,8555,low_prior,187,40,ai,Isabella is a vegetarian,9.35855,pretend,pretend,isabella,0,block2
MC,5725,,187,41,ai,Ballet is a type of dance,9.35855,MC,MC,ballet,1,block2
C,8265,low_prior,187,42,ai,Jayden doesn't have a driver's license,9.35855,discover,discover,jayden,0,block2
C,4649,low_prior,187,43,ai,Owen lives in New Orleans,9.35855,see,see,owen,0,block2
C,6296,low_prior,187,44,ai,Sophia is a high end fashion model,9.35855,reveal,reveal,sophia,0,block2
C,11533,high_prior,187,45,ai,Josie loves France,9.35855,inform,inform,josie,0,block2
C,7377,high_prior,187,46,ai,Grace loves her sister,9.35855,be_annoyed,be_annoyed,grace,0,block2
MC,4109,,187,47,ai,Many children like ice cream,9.35855,MC,MC,kids,1,block2
C,19181,high_prior,187,48,ai,Mary is taking a prenatal yoga class,9.35855,say,say,mary,1,block2
C,8719,low_prior,187,49,ai,Danny is a diabetic,9.35855,be_right,be_right,danny,1,block2
C,7563,low_prior,187,50,ai,Julian is German,9.35855,acknowledge,acknowledge,julian,1,block2
C,13677,high_prior,187,51,ai,Emma is in law school,9.35855,admit,admit,emma,0.41,block2
C,6897,high_prior,187,52,ai,Olivia works the third shift,9.35855,suggest,suggest,olivia,1,block2
C,9780,low_prior,187,53,ai,Mia is a nun,9.35855,establish,establish,mia,1,block2
C,12594,high_prior,187,54,ai,Jon lives 2 blocks away from work,9.35855,confess,confess,jon,0,block2
C,11398,high_prior,187,55,ai,Jackson is training for a marathon,9.35855,prove,prove,jackson,1,block2
C,9144,low_prior,187,56,ai,Zoe is 5 years old,9.35855,think,think,zoe,0,block2
MC,6126,,187,57,ai,Garages are used to store cars and other things,9.35855,MC,MC,garage,0.98,block2
C,34719,high_prior,188,5,projective,Mia is a college student,12.50275,hear,hear,mia,0.01,block1
C,45277,high_prior,188,6,projective,Mary is taking a prenatal yoga class,12.50275,say,say,mary,0.84,block1
C,28551,low_prior,188,7,projective,Jayden doesn't have a driver's license,12.50275,know,know,jayden,0.5,block1
C,22873,low_prior,188,8,projective,Grace hates her sister,12.50275,pretend,pretend,grace,0.33,block1
C,12783,high_prior,188,9,projective,Julian is Cuban,12.50275,confess,confess,julian,0.21,block1
C,16356,high_prior,188,10,projective,Olivia works the third shift,12.50275,suggest,suggest,olivia,0.31,block1
MC,16316,,188,11,projective,Hats are worn on the head,12.50275,MC,MC,hat,0.25,block1
C,9701,high_prior,188,12,projective,Emily has been saving for a year,12.50275,establish,establish,emily,0.11,block1
C,14885,low_prior,188,13,projective,Josh is a 75-year old man,12.50275,demonstrate,demonstrate,josh,0.16,block1
MC,11921,,188,14,projective,Ballet is a type of dance,12.50275,MC,MC,ballet,0.07,block1
C,12543,low_prior,188,15,projective,Tony has been sober for 20 years,12.50275,admit,admit,tony,0.05,block1
C,12324,low_prior,188,16,projective,Owen lives in New Orleans,12.50275,announce,announce,owen,0.04,block1
MC,12275,,188,17,projective,Garages are used to store cars and other things,12.50275,MC,MC,garage,0.02,block1
C,17594,high_prior,188,18,projective,Frank has always wanted a pet,12.50275,reveal,reveal,frank,0.02,block1
MC,7623,,188,19,projective,Many children like ice cream,12.50275,MC,MC,kids,0,block1
C,7268,low_prior,188,20,projective,Zoe is 5 years old,12.50275,confirm,confirm,zoe,0,block1
C,12391,high_prior,188,21,projective,Jackson is training for a marathon,12.50275,think,think,jackson,0.38,block1
C,10299,low_prior,188,22,projective,Jon lives 10 miles away from work,12.50275,be_right,be_right,jon,0.01,block1
MC,8996,,188,23,projective,Muffins are sold at the bakery,12.50275,MC,MC,muffins,0.01,block1
C,10231,high_prior,188,24,projective,Charley lives in Mexico,12.50275,see,see,charley,0.01,block1
C,8610,high_prior,188,25,projective,Isabella is from Argentina,12.50275,acknowledge,acknowledge,isabella,0.03,block1
C,12483,low_prior,188,26,projective,Danny is a diabetic,12.50275,discover,discover,danny,0,block1
MC,8240,,188,27,projective,Pizza is sold at the pizzeria,12.50275,MC,MC,pizza,0.02,block1
C,11832,low_prior,188,28,projective,Emma is in first grade,12.50275,inform,inform,emma,0,block1
C,8260,high_prior,188,29,projective,Sophia is a hipster,12.50275,prove,prove,sophia,0.01,block1
C,18062,low_prior,188,30,projective,Josie doesn't have a passport,12.50275,be_annoyed,be_annoyed,josie,0.02,block1
C,16257,low_prior,188,32,ai,Grace hates her sister,12.50275,pretend,pretend,grace,0.02,block2
C,20271,high_prior,188,33,ai,Mary is taking a prenatal yoga class,12.50275,say,say,mary,0.02,block2
MC,6925,,188,34,ai,Pizza is sold at the pizzeria,12.50275,MC,MC,pizza,1,block2
C,17832,low_prior,188,35,ai,Jayden doesn't have a driver's license,12.50275,know,know,jayden,0.03,block2
C,12760,high_prior,188,36,ai,Sophia is a hipster,12.50275,prove,prove,sophia,0.5,block2
C,9988,high_prior,188,37,ai,Frank has always wanted a pet,12.50275,reveal,reveal,frank,0.59,block2
C,11400,low_prior,188,38,ai,Danny is a diabetic,12.50275,discover,discover,danny,0.63,block2
C,6214,high_prior,188,39,ai,Julian is Cuban,12.50275,confess,confess,julian,0.6,block2
MC,5512,,188,40,ai,Hats are worn on the head,12.50275,MC,MC,hat,1,block2
C,11500,low_prior,188,41,ai,Tony has been sober for 20 years,12.50275,admit,admit,tony,0.01,block2
C,12046,low_prior,188,42,ai,Jon lives 10 miles away from work,12.50275,be_right,be_right,jon,0.96,block2
C,8852,high_prior,188,43,ai,Charley lives in Mexico,12.50275,see,see,charley,0.02,block2
MC,5413,,188,44,ai,Garages are used to store cars and other things,12.50275,MC,MC,garage,1,block2
C,10431,high_prior,188,45,ai,Emily has been saving for a year,12.50275,establish,establish,emily,0.87,block2
MC,4973,,188,46,ai,Muffins are sold at the bakery,12.50275,MC,MC,muffins,1,block2
C,16428,high_prior,188,47,ai,Mia is a college student,12.50275,hear,hear,mia,0.83,block2
C,11090,high_prior,188,48,ai,Jackson is training for a marathon,12.50275,think,think,jackson,0.05,block2
MC,5697,,188,49,ai,Ballet is a type of dance,12.50275,MC,MC,ballet,1,block2
C,6466,high_prior,188,50,ai,Isabella is from Argentina,12.50275,acknowledge,acknowledge,isabella,0.01,block2
MC,4895,,188,51,ai,Many children like ice cream,12.50275,MC,MC,kids,0.97,block2
C,10110,low_prior,188,52,ai,Zoe is 5 years old,12.50275,confirm,confirm,zoe,0.89,block2
C,12445,low_prior,188,53,ai,Owen lives in New Orleans,12.50275,announce,announce,owen,0,block2
C,6475,low_prior,188,54,ai,Josie doesn't have a passport,12.50275,be_annoyed,be_annoyed,josie,0,block2
C,7530,high_prior,188,55,ai,Olivia works the third shift,12.50275,suggest,suggest,olivia,0,block2
C,12594,low_prior,188,56,ai,Josh is a 75-year old man,12.50275,demonstrate,demonstrate,josh,0.08,block2
C,8533,low_prior,188,57,ai,Emma is in first grade,12.50275,inform,inform,emma,0,block2
C,7245,high_prior,189,5,ai,Mia is a college student,2.5138166666666666,reveal,reveal,mia,0.15,block1
C,3940,low_prior,189,6,ai,Sophia is a high end fashion model,2.5138166666666666,know,know,sophia,0.16,block1
C,5478,low_prior,189,7,ai,Josie doesn't have a passport,2.5138166666666666,pretend,pretend,josie,0.3,block1
C,6358,low_prior,189,8,ai,Tony has been sober for 20 years,2.5138166666666666,think,think,tony,0.37,block1
C,1018,high_prior,189,9,ai,Grace loves her sister,2.5138166666666666,inform,inform,grace,0.27,block1
MC,3552,,189,10,ai,Pizza is sold at the pizzeria,2.5138166666666666,MC,MC,pizza,0.97,block1
C,3426,low_prior,189,11,ai,Olivia has two small children,2.5138166666666666,admit,admit,olivia,0.3,block1
C,3674,high_prior,189,12,ai,Charley lives in Mexico,2.5138166666666666,see,see,charley,0.21,block1
C,3268,low_prior,189,13,ai,Emily never has any money,2.5138166666666666,be_right,be_right,emily,0.74,block1
MC,4363,,189,14,ai,Many children like ice cream,2.5138166666666666,MC,MC,kids,0.98,block1
C,4517,high_prior,189,15,ai,Isabella is from Argentina,2.5138166666666666,acknowledge,acknowledge,isabella,0.25,block1
C,4685,high_prior,189,16,ai,Owen lives in Chicago,2.5138166666666666,demonstrate,demonstrate,owen,0.15,block1
MC,3305,,189,17,ai,Garages are used to store cars and other things,2.5138166666666666,MC,MC,garage,0.98,block1
C,4197,low_prior,189,18,ai,Zoe is 5 years old,2.5138166666666666,suggest,suggest,zoe,0.22,block1
MC,1962,,189,19,ai,Ballet is a type of dance,2.5138166666666666,MC,MC,ballet,0.98,block1
MC,2157,,189,20,ai,Hats are worn on the head,2.5138166666666666,MC,MC,hat,0.99,block1
C,1340,low_prior,189,21,ai,Jackson is obese,2.5138166666666666,discover,discover,jackson,0.14,block1
C,1556,high_prior,189,22,ai,Jayden's car is in the shop,2.5138166666666666,be_annoyed,be_annoyed,jayden,0.14,block1
C,2108,high_prior,189,23,ai,Jon lives 2 blocks away from work,2.5138166666666666,confirm,confirm,jon,0.15,block1
C,1417,low_prior,189,24,ai,Josh is a 75-year old man,2.5138166666666666,confess,confess,josh,0.29,block1
C,2668,high_prior,189,25,ai,Frank has always wanted a pet,2.5138166666666666,hear,hear,frank,0.18,block1
C,2102,high_prior,189,26,ai,Mary is taking a prenatal yoga class,2.5138166666666666,announce,announce,mary,0.16,block1
MC,1777,,189,27,ai,Muffins are sold at the bakery,2.5138166666666666,MC,MC,muffins,1,block1
C,1252,low_prior,189,28,ai,Danny is a diabetic,2.5138166666666666,establish,establish,danny,0.09,block1
C,1518,low_prior,189,29,ai,Julian is German,2.5138166666666666,prove,prove,julian,0.12,block1
C,1279,high_prior,189,30,ai,Emma is in law school,2.5138166666666666,say,say,emma,0.33,block1
C,5692,low_prior,189,32,projective,Josh is a 75-year old man,2.5138166666666666,confess,confess,josh,0.43,block2
C,1825,high_prior,189,33,projective,Owen lives in Chicago,2.5138166666666666,demonstrate,demonstrate,owen,0.27,block2
C,2626,low_prior,189,34,projective,Zoe is 5 years old,2.5138166666666666,suggest,suggest,zoe,0.21,block2
C,1698,high_prior,189,35,projective,Frank has always wanted a pet,2.5138166666666666,hear,hear,frank,0.91,block2
C,2037,high_prior,189,36,projective,Grace loves her sister,2.5138166666666666,inform,inform,grace,0.9,block2
C,1056,high_prior,189,37,projective,Emma is in law school,2.5138166666666666,say,say,emma,0.24,block2
C,1708,low_prior,189,38,projective,Emily never has any money,2.5138166666666666,be_right,be_right,emily,0.16,block2
C,1484,high_prior,189,39,projective,Charley lives in Mexico,2.5138166666666666,see,see,charley,0.89,block2
C,1665,high_prior,189,40,projective,Jon lives 2 blocks away from work,2.5138166666666666,confirm,confirm,jon,0.42,block2
MC,1620,,189,41,projective,Pizza is sold at the pizzeria,2.5138166666666666,MC,MC,pizza,0.17,block2
C,1719,low_prior,189,42,projective,Sophia is a high end fashion model,2.5138166666666666,know,know,sophia,0.97,block2
MC,1556,,189,43,projective,Muffins are sold at the bakery,2.5138166666666666,MC,MC,muffins,0.13,block2
C,1589,low_prior,189,44,projective,Jackson is obese,2.5138166666666666,discover,discover,jackson,0.84,block2
C,2050,high_prior,189,45,projective,Mary is taking a prenatal yoga class,2.5138166666666666,announce,announce,mary,0.37,block2
C,1712,low_prior,189,46,projective,Josie doesn't have a passport,2.5138166666666666,pretend,pretend,josie,0.26,block2
C,1727,low_prior,189,47,projective,Danny is a diabetic,2.5138166666666666,establish,establish,danny,0.13,block2
MC,1314,,189,48,projective,Many children like ice cream,2.5138166666666666,MC,MC,kids,0.09,block2
C,2125,high_prior,189,49,projective,Isabella is from Argentina,2.5138166666666666,acknowledge,acknowledge,isabella,0.51,block2
C,1867,low_prior,189,50,projective,Olivia has two small children,2.5138166666666666,admit,admit,olivia,0.6,block2
C,1657,low_prior,189,51,projective,Tony has been sober for 20 years,2.5138166666666666,think,think,tony,0.16,block2
MC,1488,,189,52,projective,Garages are used to store cars and other things,2.5138166666666666,MC,MC,garage,0.09,block2
MC,4691,,189,53,projective,Hats are worn on the head,2.5138166666666666,MC,MC,hat,0.05,block2
C,3746,high_prior,189,54,projective,Mia is a college student,2.5138166666666666,reveal,reveal,mia,0.39,block2
C,1249,high_prior,189,55,projective,Jayden's car is in the shop,2.5138166666666666,be_annoyed,be_annoyed,jayden,0.17,block2
MC,1732,,189,56,projective,Ballet is a type of dance,2.5138166666666666,MC,MC,ballet,0.07,block2
C,2162,low_prior,189,57,projective,Julian is German,2.5138166666666666,prove,prove,julian,0.24,block2
C,24239,high_prior,190,5,ai,Jon lives 2 blocks away from work,9.432383333333334,reveal,reveal,jon,1,block1
C,22800,low_prior,190,6,ai,Emma is in first grade,9.432383333333334,admit,admit,emma,0.16,block1
MC,26568,,190,7,ai,Many children like ice cream,9.432383333333334,MC,MC,kids,0.98,block1
C,9544,low_prior,190,8,ai,Sophia is a high end fashion model,9.432383333333334,know,know,sophia,0.01,block1
C,8008,low_prior,190,9,ai,Charley lives in Korea,9.432383333333334,confirm,confirm,charley,0,block1
C,9856,high_prior,190,10,ai,Julian is Cuban,9.432383333333334,see,see,julian,0,block1
C,8480,high_prior,190,11,ai,Mia is a college student,9.432383333333334,suggest,suggest,mia,1,block1
C,11608,low_prior,190,12,ai,Olivia has two small children,9.432383333333334,be_annoyed,be_annoyed,olivia,0,block1
MC,5224,,190,13,ai,Pizza is sold at the pizzeria,9.432383333333334,MC,MC,pizza,1,block1
C,8959,high_prior,190,14,ai,Danny loves cake,9.432383333333334,establish,establish,danny,0,block1
C,9656,high_prior,190,15,ai,Isabella is from Argentina,9.432383333333334,be_right,be_right,isabella,0,block1
C,6673,low_prior,190,16,ai,Josie doesn't have a passport,9.432383333333334,pretend,pretend,josie,0,block1
C,4416,high_prior,190,17,ai,Tony really likes to party with his friends,9.432383333333334,prove,prove,tony,0,block1
C,4159,high_prior,190,18,ai,Jackson is training for a marathon,9.432383333333334,demonstrate,demonstrate,jackson,0,block1
C,4151,low_prior,190,19,ai,Frank is allergic to cats,9.432383333333334,confess,confess,frank,0,block1
C,3280,low_prior,190,20,ai,Jayden doesn't have a driver's license,9.432383333333334,announce,announce,jayden,0,block1
C,127425,low_prior,190,21,ai,Mary is a middle school student,9.432383333333334,inform,inform,mary,0,block1
C,23656,high_prior,190,22,ai,Zoe is a math major,9.432383333333334,hear,hear,zoe,0.01,block1
MC,2927,,190,23,ai,Muffins are sold at the bakery,9.432383333333334,MC,MC,muffins,0.96,block1
C,5040,high_prior,190,24,ai,Josh is a 5-year old boy,9.432383333333334,think,think,josh,0,block1
MC,3537,,190,25,ai,Garages are used to store cars and other things,9.432383333333334,MC,MC,garage,1,block1
C,3047,low_prior,190,26,ai,Grace hates her sister,9.432383333333334,acknowledge,acknowledge,grace,0,block1
C,25055,high_prior,190,27,ai,Owen lives in Chicago,9.432383333333334,say,say,owen,0,block1
MC,2152,,190,28,ai,Ballet is a type of dance,9.432383333333334,MC,MC,ballet,1,block1
MC,4688,,190,29,ai,Hats are worn on the head,9.432383333333334,MC,MC,hat,1,block1
C,3184,low_prior,190,30,ai,Emily never has any money,9.432383333333334,discover,discover,emily,0,block1
C,13303,low_prior,190,32,projective,Olivia has two small children,9.432383333333334,be_annoyed,be_annoyed,olivia,1,block2
MC,6176,,190,33,projective,Hats are worn on the head,9.432383333333334,MC,MC,hat,0,block2
C,3792,high_prior,190,34,projective,Tony really likes to party with his friends,9.432383333333334,prove,prove,tony,1,block2
C,3063,low_prior,190,35,projective,Emma is in first grade,9.432383333333334,admit,admit,emma,1,block2
C,2528,low_prior,190,36,projective,Charley lives in Korea,9.432383333333334,confirm,confirm,charley,1,block2
C,3984,high_prior,190,37,projective,Julian is Cuban,9.432383333333334,see,see,julian,1,block2
C,2815,low_prior,190,38,projective,Josie doesn't have a passport,9.432383333333334,pretend,pretend,josie,1,block2
C,2632,low_prior,190,39,projective,Frank is allergic to cats,9.432383333333334,confess,confess,frank,0.98,block2
MC,2488,,190,40,projective,Ballet is a type of dance,9.432383333333334,MC,MC,ballet,0,block2
C,2112,high_prior,190,41,projective,Zoe is a math major,9.432383333333334,hear,hear,zoe,1,block2
C,5439,high_prior,190,42,projective,Danny loves cake,9.432383333333334,establish,establish,danny,0,block2
C,4257,high_prior,190,43,projective,Mia is a college student,9.432383333333334,suggest,suggest,mia,0.03,block2
C,7416,low_prior,190,44,projective,Mary is a middle school student,9.432383333333334,inform,inform,mary,1,block2
C,2600,high_prior,190,45,projective,Isabella is from Argentina,9.432383333333334,be_right,be_right,isabella,1,block2
C,2776,high_prior,190,46,projective,Jon lives 2 blocks away from work,9.432383333333334,reveal,reveal,jon,1,block2
MC,6648,,190,47,projective,Garages are used to store cars and other things,9.432383333333334,MC,MC,garage,0,block2
C,4655,high_prior,190,48,projective,Josh is a 5-year old boy,9.432383333333334,think,think,josh,1,block2
MC,2649,,190,49,projective,Pizza is sold at the pizzeria,9.432383333333334,MC,MC,pizza,0,block2
C,3544,low_prior,190,50,projective,Grace hates her sister,9.432383333333334,acknowledge,acknowledge,grace,1,block2
C,1808,low_prior,190,51,projective,Emily never has any money,9.432383333333334,discover,discover,emily,1,block2
C,2240,high_prior,190,52,projective,Jackson is training for a marathon,9.432383333333334,demonstrate,demonstrate,jackson,0.99,block2
C,6496,high_prior,190,53,projective,Owen lives in Chicago,9.432383333333334,say,say,owen,0.99,block2
MC,3320,,190,54,projective,Many children like ice cream,9.432383333333334,MC,MC,kids,0,block2
C,2720,low_prior,190,55,projective,Sophia is a high end fashion model,9.432383333333334,know,know,sophia,1,block2
C,3080,low_prior,190,56,projective,Jayden doesn't have a driver's license,9.432383333333334,announce,announce,jayden,0.97,block2
MC,3544,,190,57,projective,Muffins are sold at the bakery,9.432383333333334,MC,MC,muffins,0,block2
C,3865,low_prior,191,5,ai,Zoe is 5 years old,2.8251,be_right,be_right,zoe,0,block1
C,2324,high_prior,191,6,ai,Jon lives 2 blocks away from work,2.8251,know,know,jon,0.35,block1
C,3261,low_prior,191,7,ai,Isabella is a vegetarian,2.8251,announce,announce,isabella,0,block1
C,4509,low_prior,191,8,ai,Emma is in first grade,2.8251,be_annoyed,be_annoyed,emma,0.1,block1
MC,1848,,191,9,ai,Ballet is a type of dance,2.8251,MC,MC,ballet,1,block1
C,1677,high_prior,191,10,ai,Grace loves her sister,2.8251,acknowledge,acknowledge,grace,0.67,block1
C,1730,high_prior,191,11,ai,Emily has been saving for a year,2.8251,say,say,emily,0.76,block1
C,1687,high_prior,191,12,ai,Jayden's car is in the shop,2.8251,discover,discover,jayden,0.58,block1
C,2832,low_prior,191,13,ai,Tony has been sober for 20 years,2.8251,hear,hear,tony,0.83,block1
C,2140,high_prior,191,14,ai,Jackson is training for a marathon,2.8251,prove,prove,jackson,0.74,block1
MC,1833,,191,15,ai,Many children like ice cream,2.8251,MC,MC,kids,1,block1
C,1742,low_prior,191,16,ai,Mia is a nun,2.8251,confirm,confirm,mia,0.81,block1
MC,1416,,191,17,ai,Hats are worn on the head,2.8251,MC,MC,hat,1,block1
C,1773,low_prior,191,18,ai,Josie doesn't have a passport,2.8251,inform,inform,josie,0.22,block1
